comment_id,video_id,source_title,published_at,like_count,text,label,annotator,confidence,notes
UgxZX3lyBfz7_vRMDhB4AaABAg,4yjXBLcjynU,"Diana Murni Sindir Roy Suryo: “Menghadapi Orang Gila, Kita Harus Pura-Pura Gila!” | Rakber (14/10)",2025-10-14T19:46:04Z,16,Keledai selalu teriak dan tertawa seperti ada yang aneh.,Negatif,claude-llm,0.6,ejek penuduh keledai teriak aneh
UgyEtHD71lojdOLm--Z4AaABAg,tQKnVXSL7nc,"[FULL] Perdana! Sidang MK Uji Materi Gugatan Roy Suryo Cs Kasus Ijazah Jokowi, Hakim Minta Rombak?",2026-02-10T15:02:28Z,0,"Kalo gagal di mk,apa kata rafli harun dan rrt,mungkin akan di bilang mk nya termul",Negatif,claude-llm,0.65,Refly RRT bakal salahkan MK
UgzctPPFZBd7nWdWY_t4AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",2025-12-16T10:45:03Z,0,Pembadengnya zam apa ezam mau bikin gaduh pemeritahan ya,Negatif,claude-llm,0.7,Zam mau bikin gaduh
UgzsOzrCJynQkN5gaK94AaABAg,uxDGtbE72jk,"[FULL] Terancam 12 Tahun Penjara, Roy Suryo CS Keder? | Catatan Demokrasi tvOne",2025-12-15T05:13:04Z,0,Metode ilmu penelitian oleh roy suryo cs. Tidak bisa untuk menganalisa ihazah jokowi yg masih Analog.,Negatif,claude-llm,0.65,metode Roy tak bisa analisa ijazah analog
UgyC1_OyiRsSC_gJcm94AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",2025-12-16T09:41:59Z,0,Dulu tujukan selesai ini beda lgi Roy banyak lewa 😂😂,Negatif,claude-llm,0.6,ejek Roy banyak alasan
UgyqNBMOtWghfHeYRNN4AaABAg,5btOJ_Wru2k,[FULL] Membongkar Sosok 'Bohir' di Balik Kasus Ijazah Jokowi | Rakyat Bersuara,2026-04-12T04:24:13Z,0,"alasan jkowi di serang ... salah satunya program hilirisasi yg ingin membawa negri ini berdaulat dan menjadi negara yg mandiri...proganda asinglah yg bermain di balik layar,,,goerge soros,,,how are you.....siap siap saja negara ini di serang dari kurs dolar dan saham....",Negatif,claude-llm,0.8,Jokowi diserang propaganda asing
UgwfY1FZkXGvlMx0AVR4AaABAg,4yjXBLcjynU,"Diana Murni Sindir Roy Suryo: “Menghadapi Orang Gila, Kita Harus Pura-Pura Gila!” | Rakber (14/10)",2025-12-08T04:56:01Z,0,"Siapapun orangnya baik teman atau lawannya Mas Suryo sdh bisa melihat muka yang stress diwajahnya.Yah,maklum sajalah.Hukuman sudah jelas menanti dia.Dihukum 1 tahun saja sudah stress apalagi kalau diatas 5 tahun.Tidak bisa kumpul anak istri makan yg tidak standard.Tapi klo mas Suryo bisa memanfaatkan Penjara untk lebih mendekatkan diri kepada Tuhan.Banyak pigur publik yg menjadi lebih baik ketika sdh keluar penjara.",Negatif,claude-llm,0.75,ejek Roy bakal dihukum penjara
UgwWKrViVadyhB_xzch4AaABAg,BMcbB3SlU1M,"[FULL] PANAS! Jahmada Girsang vs Roy Suryo Soal Ijazah: Jangan Ngomong Doang, Lakukan Kalau Bisa!",2026-04-24T00:51:48Z,0,"Dajjal sebelum kiamat benar"" datang apa di awali Dajjal seperti ROY SURYO ini ya ...",Negatif,claude-llm,0.7,sebut Roy Suryo Dajjal
UgyKAQ-drgQr1Q1dK5Z4AaABAg,uxDGtbE72jk,"[FULL] Terancam 12 Tahun Penjara, Roy Suryo CS Keder? | Catatan Demokrasi tvOne",2025-12-09T15:25:30Z,0,Pengacara Roy ini sudah gila . Sudah ada pernyataan rektor UGM bahwa Jokowi memang alumni UGM . Ijazahnya asli .,Negatif,claude-llm,0.9,rektor sudah nyatakan ijazah asli
UgyDBUgQkbk4cZEmOw54AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",2025-12-15T13:39:36Z,260,"Bodoh itu bisa disengaja, pura pura bodoh atau emang mereka bodoh, mbok malaikat yang tunjukkanpun mereka gak bakal percaya",Negatif,claude-llm,0.7,ejek penuduh pura-pura bodoh
UgydoCCm1832AE1EWIV4AaABAg,4yjXBLcjynU,"Diana Murni Sindir Roy Suryo: “Menghadapi Orang Gila, Kita Harus Pura-Pura Gila!” | Rakber (14/10)",2025-12-21T03:53:39Z,0,"Orang gila kok baik ,mngkin pas kumat itu ,gitu kok didukung",Negatif,claude-llm,0.6,ejek Roy gila didukung
Ugx9o3BCaiNCIvXPdAZ4AaABAg,uxDGtbE72jk,"[FULL] Terancam 12 Tahun Penjara, Roy Suryo CS Keder? | Catatan Demokrasi tvOne",2025-12-15T06:17:21Z,0,"Komentar ibu tadi katanya prof. Menurut saya beliau bukan ahli hukum. Jadi menurut saya Ijazah Bpk. Jokowi tdk perlu menunjukan Ijazahnya kepada mereka yg menuduh, pembuktiannya adalah lewat Pengadilan.",Negatif,claude-llm,0.7,bela Jokowi tak perlu tunjuk
Ugyj7baaCd7Axy8phEl4AaABAg,5btOJ_Wru2k,[FULL] Membongkar Sosok 'Bohir' di Balik Kasus Ijazah Jokowi | Rakyat Bersuara,2026-04-09T14:13:26Z,0,Roy orang SDH mabuk itu SDH kehabisan bcrh Krn dia adalah orang yg g pnya malu,Negatif,claude-llm,0.8,hina Roy mabuk tak tahu malu
Ugz9xx4lxDT-RZGHyTR4AaABAg,LgaDFmaTpak,"[FULL] Babak Baru! Kasus Ijazah Jokowi, Roy Cs-Susno Bereaksi, Eggi & Damai Dapat SP3 | BOLA LIAR",2026-01-18T04:26:31Z,0,Bang damai kebingungan. Hanya CCTV Allah yg maha Tahu. Yg bohong tetap bohong,Negatif,claude-llm,0.6,"Damai bingung, yang bohong tetap bohong"
