comment_id,llm_label,confidence
UgwnI1rvWPsjcFqUzxB4AaABAg,Netral,0.4
UgwLVYq2AxHOYXqCKSJ4AaABAg,Negatif,0.6
UgwjA63_dcg5bko6Qux4AaABAg,Positif,0.8
UgxngobKJJN2LMulm9N4AaABAg,Netral,0.45
UgzcT6cTPlpx7VUl9714AaABAg,Negatif,0.6
Ugz5GjbleERXdmu9EtV4AaABAg,Negatif,0.5
Ugyit884lYHJn_oBVRJ4AaABAg,Positif,0.7
UgyyatbjrMWosr0GcEx4AaABAg,Negatif,0.85
Ugwui2_BPKfZCTo6tL94AaABAg,Positif,0.8
UgzfTCfg0peqAA5yZy94AaABAg,Negatif,0.8
UgwBi0xcv8k_MplARCV4AaABAg,Negatif,0.7
UgxQYREJavnIzU_szVR4AaABAg,Netral,0.5
UgyL_5Ui2v19DfiFMYt4AaABAg,Negatif,0.55
UgxvjvdhGA2LexFgMhZ4AaABAg,Negatif,0.85
UgzSSN8LrYxBqgS3_wp4AaABAg,Netral,0.55
Ugxw6tga5QH7QpLI1154AaABAg,Positif,0.8
UgwxniAtvzJ8P0nUdrV4AaABAg,Netral,0.5
UgzO1qfg82xPyDcQINp4AaABAg,Positif,0.6
Ugwd8jh05-m0S9RNX3d4AaABAg,Negatif,0.7
Ugw5C7dubcvq4ZepXrl4AaABAg,Positif,0.6
UgwIgJxUwwnEYmGr2Jt4AaABAg,Positif,0.8
UgynX-tsvGhexo2IDMR4AaABAg,Netral,0.5
UgxugDkTRVZk0GYS_894AaABAg,Negatif,0.6
UgwEogflvXgpMmtopAh4AaABAg,Positif,0.8
Ugzy2GoEMBqRXkUccSZ4AaABAg,Positif,0.7
Ugwsrn9ZzP0kcvy-gfZ4AaABAg,Negatif,0.55
UgxOKc4xzxjyjyAqX_J4AaABAg,Negatif,0.7
UgxBS-qKlmTXV_PGF814AaABAg,Negatif,0.6
UgyurBs-VnOril1wnR94AaABAg,Negatif,0.85
Ugy0YDP8bDiGyb38SpJ4AaABAg,Negatif,0.55
Ugz-jcju5QZzvmXXXEx4AaABAg,Negatif,0.7
UgyIMOJ_oGZ49Yb3S5J4AaABAg,Positif,0.78
UgwAb0IlqEPccpgx9754AaABAg,Netral,0.5
Ugx58vcwcHsxvOxg_sh4AaABAg,Negatif,0.6
Ugwe3EHmpjkkDeg--5x4AaABAg,Negatif,0.65
