comment_id,label,annotator,confidence,notes
UgyOPPmZ5SfyWUedCUN4AaABAg,Netral,claude-llm,0.55,doa umum yang berbohong
Ugz9rfTI7kkUQZNgNft4AaABAg,Negatif,claude-llm,0.55,"dukung rektor UGM, bela"
Ugx90ROGnR_MQr2KL6J4AaABAg,Positif,claude-llm,0.8,kompak ngibul si pinokio
UgwstZXmcaZ7HQL7uPB4AaABAg,Positif,claude-llm,0.95,sindir Jokowi tutupi dokumen ijazah
UgwqGdY9rnwQfWb1Lp94AaABAg,Negatif,claude-llm,0.6,sindir geng mulyono bangun narasi
UgwmZcyO3cov-AVeoJJ4AaABAg,Positif,claude-llm,0.7,UGM takut dicecar Roy
UgyL_AqhaibEbsgc6o54AaABAg,Positif,claude-llm,0.5,"sindir kebohongan, condong tuduhan"
UgypoNn73iTAIoEMwn14AaABAg,Positif,claude-llm,0.8,"rakyat tak bodoh, lihat fotonya"
UgwM5JLzp-v6sT9cHwR4AaABAg,Positif,claude-llm,0.75,framing Jokowi terhina karena tersudut
UgxVLm7CDCZCr-yqzTJ4AaABAg,Positif,claude-llm,0.85,sindir foto ijazah berbeda palsu
UgwovkNCpYt89yatrdJ4AaABAg,Positif,claude-llm,0.6,"ingin undang penuduh, dukung narasi"
UgzUC-cFjUoUaqNnHMN4AaABAg,Negatif,claude-llm,0.55,ejek percaya pinter keblinger
UgwS4c8LvcQg9Ew_BCN4AaABAg,Positif,claude-llm,0.85,ijazah palsu malah dilindungi tak boleh dilihat
Ugw_AKY7R4yjI-5J0lh4AaABAg,Positif,claude-llm,0.8,remehkan klaim UGM hanya narasi
Ugy5ylL5VV1YUmasO2d4AaABAg,Positif,claude-llm,0.9,yakin ada kebohongan terlindungi
UgxYhyHD3GeUxrw0aSh4AaABAg,Positif,claude-llm,0.65,suruh Jokowi tunjukkan ijazah
UgzHly_px78quYHYC2B4AaABAg,Positif,claude-llm,0.8,"kebohongan ribet, undang roy"
UgziVX-9ySFB9I6TkpN4AaABAg,Positif,claude-llm,0.7,kebohongan ribet menutupi
Ugxa4o3BlJxHZToAjdt4AaABAg,Netral,claude-llm,0.6,usul undang kedua kubu klarifikasi
UgzQLJXc7RoDacEErCl4AaABAg,Positif,claude-llm,0.75,tuduh berbohong
Ugz5nPDcYbIW_d9_wF14AaABAg,Positif,claude-llm,0.65,satu kebohongan ditutupi lagi
UgytvYP3J4oM3zAlFph4AaABAg,Positif,claude-llm,0.6,rakyat berhak tanya legalitas pejabat
UgzLzEXpqaMfX5pJjtB4AaABAg,Positif,claude-llm,0.7,hadirkan mereka biar tahu siapa bohong
UgzI9hqwEW_o24Fd__t4AaABAg,Negatif,claude-llm,0.85,sebut ijazah asli
UgzQoWYEaxDrmkckt6t4AaABAg,Positif,claude-llm,0.72,tuntut tunjukkan kejujuran
Ugx-coVloB3y3m7ZW_F4AaABAg,Positif,claude-llm,0.6,doa azab bagi pembohong
UgwajXR4TdoDuy8dEnd4AaABAg,Netral,claude-llm,0.6,candaan mahasiswa UGM senyum
Ugxb_GsRYa2CXpLKRZN4AaABAg,Positif,claude-llm,0.6,sindir UGM didik kejujuran tak khianat
UgzHhJSr-m7TY1OtYr54AaABAg,Positif,claude-llm,0.85,tuntut bukti ijazah asli ditunjukkan
UgzglqucweiFKOIZWwl4AaABAg,Positif,claude-llm,0.8,sindir Kasmujo tak mengakui
UgxSux6rR3WZ1-GhOut4AaABAg,Positif,claude-llm,0.7,curiga takut diketahui publik
UgzqzTy-isAzYATxk3l4AaABAg,Positif,claude-llm,0.9,tuduh rektor berbohong
Ugy5Z2s8iQVlzp3S33p4AaABAg,Positif,claude-llm,0.45,"kutipan jujur vs kebohongan, condong tuduhan"
UgxtudPM3eeLWtmQgq54AaABAg,Negatif,claude-llm,0.8,"terima kasih UGM, kutuk pembohong"
UgyOvz-WcOoTrm9I-Nh4AaABAg,Positif,claude-llm,0.7,curiga skenario meyakinkan publik
UgzRwV-qJ5tkCmnctRp4AaABAg,Netral,claude-llm,0.5,doa kondisional tak jelas pihak
UgzYkdan6AJV8YMnJwB4AaABAg,Positif,claude-llm,0.65,"tuduh UGM sepihak, minta debat terbuka"
UgwR3tkmi1FPBy_NXxp4AaABAg,Netral,claude-llm,0.45,nasihat haq batil umum
Ugy3KPzuyCLAkc8Wt_54AaABAg,Positif,claude-llm,0.6,sindir kebohongan libatkan banyak orang
UgzRTjWq-OqRdJLlngd4AaABAg,Netral,claude-llm,0.5,tertawa tak jelas pihak
UgzMJOGwDuYaEuZxy6x4AaABAg,Positif,claude-llm,0.8,tuntut konpres bawa ijazah
UgxSvXyORutffHhhhP14AaABAg,Positif,claude-llm,0.7,ketiga penuduh tegang tutupi kebohongan
UgxB2HOKhFnY9ufG3qV4AaABAg,Positif,claude-llm,0.65,curiga wawancara gelap banyak ditutupi
UgwOtP4q3u5nZ9jzowl4AaABAg,Negatif,claude-llm,0.75,"puji rektor jujur, cabut Roy"
UgxGGFk5VxAhae6l0CV4AaABAg,Positif,claude-llm,0.85,doakan azab pembohong kasus ini
UgzirakJ3rJz6T_RAJR4AaABAg,Positif,claude-llm,0.7,disuruh tunjukkan bukti tak berani omon
UgwM7mP93gaNxUlQJu54AaABAg,Positif,claude-llm,0.7,"tuntut UGM hadir, curiga"
UgwnzT38UMXpZRUTf3N4AaABAg,Netral,claude-llm,0.65,"menunggu pengadilan, prosedural"
UgwzPSjwRVSjgiW8V9J4AaABAg,Positif,claude-llm,0.75,tuduh kebohongan tertata
UgzSHTsAMgvgS5f47414AaABAg,Negatif,claude-llm,0.7,"anggap ijazah asli, hormati lulusan"
UgyWLKMfSxU2GetlTXF4AaABAg,Positif,claude-llm,0.8,"sebut keterangan diseting, bohong"
UgyGJYZSgnhooLocR-B4AaABAg,Netral,claude-llm,0.6,minta UGM tegas jawab keaslian
UgyVdfuuDnFCF9VYdb14AaABAg,Positif,claude-llm,0.9,cerita tanpa bukti jangan dipercaya
Ugw1CAzgcu1CWbci3xp4AaABAg,Positif,claude-llm,0.75,tuntut tunjukkan ijazah jokowi
UgwMP2v3hODQunxIuIF4AaABAg,Positif,claude-llm,0.8,curiga UGM menutupi sesuatu
UgytnVjgbrmt06dnVA94AaABAg,Netral,claude-llm,0.6,minta proses lanjut benar palsu
UgxPHKoT06XcZg89GJl4AaABAg,Positif,claude-llm,0.85,curiga sudah diatur tunjukan data
UgwlZ56vJJIuKfqE2Zx4AaABAg,Positif,claude-llm,0.9,"percaya Roy, UGM lindungi Jokowi"
UgxkxqrAgMipvCAa6iZ4AaABAg,Positif,claude-llm,0.9,konten narasi tak membuktikan apa-apa
UgxSuZf64EGttzb5Xkd4AaABAg,Negatif,claude-llm,0.8,puji Jokowi bijak hadapi tudingan
UgwMS___moZgI0bjrvp4AaABAg,Positif,claude-llm,0.7,sindir pernyataan terlambat setelah penjara
Ugw0cqfTOqafc86WFHN4AaABAg,Positif,claude-llm,0.7,sindir acara bela Mulyono
UgyUtqMA0AHJJ6qpv-t4AaABAg,Positif,claude-llm,0.7,"UGM cari pembenaran, ternak Mulyono"
Ugzj1D2WexSP0DGh7_B4AaABAg,Positif,claude-llm,0.6,yang berbohong diazab Allah
Ugx12HbMk8jsS6Eff8l4AaABAg,Positif,claude-llm,0.6,sindir pelindung kebohongan suul khotimah
Ugw3ilOpCdqOy2lJE7F4AaABAg,Positif,claude-llm,0.55,minta data otentik hapus keraguan
UgwEgSGluqhvB2TbxDh4AaABAg,Positif,claude-llm,0.75,dukung Roy Rismon Tifa debat UGM
Ugw5Lm7Sx4B1Uh4OgS54AaABAg,Positif,claude-llm,0.8,"tuntut tunjukkan bukti, rakyat resah"
UgzbPwAxB1ykW_NlfUp4AaABAg,Netral,claude-llm,0.6,"doa siapa bohong diazab, netral"
UgxEJ1fkGws0qKYKHD14AaABAg,Positif,claude-llm,0.9,narasi kosong tunjukkan bukti
UgwcA21q6Kb2PUqqoKh4AaABAg,Positif,claude-llm,0.55,"pembicara menanggung beban, curiga"
Ugwb-3uaEi9l5EXamDZ4AaABAg,Positif,claude-llm,0.6,sindir UGM jawab tak relevan
Ugw2fn-dkkw-7Ynmc8Z4AaABAg,Positif,claude-llm,0.85,klaim mayoritas percaya palsu
UgxI6qOVWJikS3OxwwF4AaABAg,Netral,claude-llm,0.5,"dekan diserang mahasiswa, samar"
Ugx7kA8tUSzh8RhDjDB4AaABAg,Positif,claude-llm,0.65,"tantang pajang ijazah, sindir tak bangga"
