comment_id,llm_label,confidence
UgzrdCU3BIgOnTGJvIB4AaABAg,Negatif,0.7
UgwkagNGeHPHYnKgedB4AaABAg,Netral,0.5
UgzmcqT_6Wd1bN11O-14AaABAg,Positif,0.7
UgxQ786-BQ4ONUDnoBJ4AaABAg,Negatif,0.85
UgzPNnIxn85XR37-Jjd4AaABAg,Netral,0.6
Ugxpk3L9T-29-Wnv2-h4AaABAg,Positif,0.9
Ugx7WiNZvc1eBghyvsh4AaABAg,Negatif,0.7
Ugz_cKVrfALnYxFkUwx4AaABAg,Netral,0.5
UgwUWQm0YvllxGS7ZGd4AaABAg,Positif,0.75
Ugwbnj7XXOwOk2GI6GZ4AaABAg,Negatif,0.85
UgzYwF2uvGcwI1NIX754AaABAg,Netral,0.5
UgzK0S1fcI4V4f3Y7qp4AaABAg,Positif,0.7
Ugxxnz0hH85ZMS7Ccel4AaABAg,Negatif,0.8
Ugzgu1ZSU4LHgh2AE5R4AaABAg,Netral,0.6
UgwNk_wSQEtHT9NdSv94AaABAg,Positif,0.8
UgxsGn3H39I_KqokQJl4AaABAg,Negatif,0.8
Ugx7TJMOBmm0M1sZjPF4AaABAg,Netral,0.5
UgwOF_hNF2tH53PE3AN4AaABAg,Positif,0.7
UgyEyEQoSSrtJ3OnF814AaABAg,Negatif,0.8
UgxgNnlBreYFsP1kQjJ4AaABAg,Netral,0.5
UgxGVGP-OF63HCntFR14AaABAg,Positif,0.75
Ugw_gP53nL2x617QcmN4AaABAg,Negatif,0.8
UgzBr4SkVR7uq25olBx4AaABAg,Netral,0.5
UgwNypf7UD8-F78L05R4AaABAg,Positif,0.95
UgwOdxAD6fNJC1Fnx5Z4AaABAg,Negatif,0.7
UgzenHtJqWr649SFSjt4AaABAg,Netral,0.45
UgyuYuBEzYQSaGH3lX94AaABAg,Positif,0.65
Ugx60fBuZhfjC3Pa0bd4AaABAg,Negatif,0.6
UgyZxWUR0NQs68-7Btt4AaABAg,Netral,0.45
UgzOIAOJ5Rfyaco_eNZ4AaABAg,Positif,0.65
UgyV6A8Kvyt9J6dSVaZ4AaABAg,Negatif,0.7
UgwLNKg6JL3ZZ4ywrF94AaABAg,Netral,0.5
UgybWPK0lN_caTq4UiR4AaABAg,Positif,0.85
Ugwxvlfa6VGlqO1UeGB4AaABAg,Negatif,0.6
Ugy3GAuQqds0KtfV9bd4AaABAg,Netral,0.45
Ugxm7I7DJw1bf9Cc__d4AaABAg,Positif,0.7
UgzEhdhMpLOs3FOu9tB4AaABAg,Negatif,0.85
UgxEpOdXKRyRlrT8tox4AaABAg,Netral,0.55
UgxdFVjRGKMjls9tzEF4AaABAg,Positif,0.85
UgxvmWSlBcwJfLgaVel4AaABAg,Negatif,0.65
Ugxh3txYOuKPwddTO154AaABAg,Netral,0.5
UgyjL9FfaGxVx_afPfV4AaABAg,Positif,0.85
Ugw62PRccmsxnQUN_BB4AaABAg,Negatif,0.65
Ugy-n8QpXYPpha01TQJ4AaABAg,Netral,0.45
UgzigTkMSPqd36qejxx4AaABAg,Positif,0.9
Ugwr5qa5VEN_0DLdcnp4AaABAg,Negatif,0.9
UgzV_V8OMWz44Z8zJg54AaABAg,Netral,0.55
UgwEb0hqaSI3qP2XPg14AaABAg,Positif,0.8
Ugxo5U5_-1WQERvya_94AaABAg,Negatif,0.75
UgxDk98uUcjZlXAfNVR4AaABAg,Netral,0.5
UgzCsXiI_J0t_qErIOp4AaABAg,Positif,0.7
UgwatDDzjB_b7Zzeg5B4AaABAg,Negatif,0.8
Ugwd1V28GQ4_FZDppqB4AaABAg,Netral,0.5
UgzbDRQtg76CQqTFuc94AaABAg,Positif,0.75
Ugy41VrBjxr12ayDwy14AaABAg,Negatif,0.6
UgxVZpemtwiqh__4soB4AaABAg,Netral,0.6
UgxVjcdmhh2MCeWXhux4AaABAg,Positif,0.5
UgykHdLR4LAPAqpMN3R4AaABAg,Negatif,0.65
UgxGobJVKLwmIUFyTNZ4AaABAg,Netral,0.5
UgzKEMkDHKSHk5q5eQZ4AaABAg,Positif,0.8
Ugz_RVcuaKZlCqhZ6GF4AaABAg,Negatif,0.7
UgzwXzMP67MZEayN6iV4AaABAg,Netral,0.5
UgwgbIiFoOccnmArAhR4AaABAg,Positif,0.8
Ugx1t1B1-bFfEd9MoTh4AaABAg,Negatif,0.8
Ugxtz2SSqqzGFm_HK-B4AaABAg,Netral,0.45
UgxGAxjjm-TLjJzV0Kx4AaABAg,Positif,0.8
UgzTu25izwzoA1NC_XZ4AaABAg,Negatif,0.65
UgwfRyOYR_AXio6mr7d4AaABAg,Netral,0.55
UgzqpWaEeFwCqlLWRNh4AaABAg,Positif,0.75
UgwN850-sOm1pmoRnQZ4AaABAg,Negatif,0.6
UgwjOGfUH41L-oruybl4AaABAg,Netral,0.5
UgzP5yx0GyfC1hiCJjB4AaABAg,Positif,0.7
UgwR2TEawYf6FqRW6tR4AaABAg,Negatif,0.8
Ugwqv3CHnJWr3i4xCJV4AaABAg,Netral,0.55
UgyKRg-pYDePnvLuaH94AaABAg,Positif,0.6
UgyciddlzqZ5OgoLJvl4AaABAg,Negatif,0.65
Ugx_XzM1X9D-fnxERQl4AaABAg,Netral,0.55
Ugw0_SjZdoZBnZAYkYx4AaABAg,Positif,0.65
UgywyZXXaihqTR1Xhy94AaABAg,Negatif,0.8
UgxZNDrbYdU8zmKdkRd4AaABAg,Netral,0.5
Ugy_Wc7XfOoEq-1ElWd4AaABAg,Positif,0.85
Ugwg_ubWLQAZa1uQXDZ4AaABAg,Negatif,0.65
UgzjZ0SgEfK4B-AHKpt4AaABAg,Netral,0.5
