comment_id,label,raw_text,bert,svm
Ugw5yFXVbROf8231aLF4AaABAg,Negatif,Saya yakin ijajah pa Jokowi asli,saya yakin ijajah pa jokowi asli,yakin ijajah pa jokowi asli
Ugw6yM4d0buD1PBZVBN4AaABAg,Negatif,"Digelar di gulung , 
Jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini ,
UGM lembaga kredibel ,Universitas besar sudah menjelaskan bahwa ijasah Jokowi asli.
Mabes Polri sudah menjelaskan, KPU juga sudah menjelaskan bahwa Ijasah Jokowi asli.
ROI CS,  itu adalah mantan .Mentri di era SBY , yg penuh korup, berjamaah ,
Pengacara  Tompel itu dari orang HTI yg kemarinn di bubarkan oleh Jokowi,  hati hati orang orang itu rekam jejaknya akan merusak Negeri ini ,dan membuat Negara khilafah, 
Yg satu dari Partai korup, 
Dia takut th 2929 masih berkuasa , 
Jangan sampai Negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu Penjara buat mereka","digelar di gulung , jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini , ugm lembaga kredibel ,universitas besar sudah menjelaskan bahwa ijasah jokowi asli. mabes polri sudah menjelaskan, kpu juga sudah menjelaskan bahwa ijasah jokowi asli. roi cs, itu adalah mantan .mentri di era sby , yg penuh korup, berjamaah , pengacara tompel itu dari orang hti yg kemarinn di bubarkan oleh jokowi, hati hati orang orang itu rekam jejaknya akan merusak negeri ini ,dan membuat negara khilafah, yg satu dari partai korup, dia takut th 2929 masih berkuasa , jangan sampai negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu penjara buat mereka",gelar gulung jangan mudah provokasi kelompok kelompok merusakdan korup thd bangsa ugm lembaga kredibel universitas jelas bahwa ijazah jokowi asli mabes polri jelas kpu jelas bahwa ijazah jokowi asli roy cs mantan mentri era sby penuh korup jamaah acara tompel orang hti kemarinn bubar jokowi hati hati orang orang rekam jejak rusak negeri buat negara khilafah partai korup takut th kuasa jangan sampai negeri pegang orang orang buat gaduh rakyat harus sadar lihat tunggu penjara
UgwDmd0HUqWhxq7yCfF4AaABAg,Negatif,Aku percaya 1000% ijazah pak Jokowi Asli.,aku percaya 1000 ijazah pak jokowi asli.,aku percaya ijazah pak jokowi asli
Ugwbm1w3XeEEA3x_Qm94AaABAg,Negatif,ijazah pak JOKOWI asli di bilang palsu wajib di penjara orang yang menuduh ijazah palsu biar busuk di penjara,ijazah pak jokowi asli di bilang palsu wajib di penjara orang yang menuduh ijazah palsu biar busuk di penjara,ijazah pak jokowi asli bilang palsu wajib penjara orang tuduh ijazah palsu biar busuk penjara
UgwwW0FPqFUnu3Z4IBB4AaABAg,Negatif,IJAZAH JOKOWI ASLI ... NO DEBAT .... ASLI ASLI ASLI ... JELAS,ijazah jokowi asli ... no debat .... asli asli asli ... jelas,ijazah jokowi asli no debat asli asli asli jelas
UgwyyIu7VPpZ9hrAuyd4AaABAg,Negatif,Sehat selalu pak Jokowi ijazah nya asli 👍👍🙏🙏,sehat selalu pak jokowi ijazah nya asli,sehat pak jokowi ijazah asli
UgxCXr941JGnkn7nY_J4AaABAg,Negatif,q yakin ijaza pk jokowi asli,q yakin ijaza pk jokowi asli,yakin ijaza pk jokowi asli
UgxHYaNkZZWgycnMBvd4AaABAg,Negatif,"Mantap UGM,  pernyataan Rektor & jajarannya sudah SANGAT JELAS menyampaikan bahwa Bpk. JOKOWI adalah lulusan dari Fakultas Kehutanan UGM pd tahun 1985.","mantap ugm, pernyataan rektor jajarannya sudah sangat jelas menyampaikan bahwa bpk. jokowi adalah lulusan dari fakultas kehutanan ugm pd tahun 1985.",mantap ugm nyata rektor jajar jelas sampai bahwa bpk jokowi lulus fakultas hutan ugm pd tahun
UgxviAEXRwiLW7IdyXV4AaABAg,Negatif,"Digelar di gulung , 
Jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini ,
UGM lembaga kredibel ,Universitas besar sudah menjelaskan bahwa ijasah Jokowi asli.
Mabes Polri sudah menjelaskan, KPU juga sudah menjelaskan bahwa Ijasah Jokowi asli.
ROI CS,  itu adalah mantan .Mentri di era SBY , yg penuh korup, berjamaah ,
Pengacara  Tompel itu dari orang HTI yg kemarinn di bubarkan oleh Jokowi,  hati hati orang orang itu rekam jejaknya akan merusak Negeri ini ,dan membuat Negara khilafah, 
Yg satu dari Partai korup, 
Dia takut th 2929 masih berkuasa , 
Jangan sampai Negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu Penjara buat mereka","digelar di gulung , jangan mudah terprovokasi dg kelompok kelompok yg akan merusakdan korup thd bangsa ini , ugm lembaga kredibel ,universitas besar sudah menjelaskan bahwa ijasah jokowi asli. mabes polri sudah menjelaskan, kpu juga sudah menjelaskan bahwa ijasah jokowi asli. roi cs, itu adalah mantan .mentri di era sby , yg penuh korup, berjamaah , pengacara tompel itu dari orang hti yg kemarinn di bubarkan oleh jokowi, hati hati orang orang itu rekam jejaknya akan merusak negeri ini ,dan membuat negara khilafah, yg satu dari partai korup, dia takut th 2929 masih berkuasa , jangan sampai negeri ini di pegang orang orang yg berbuat gaduh ,rakyat harus sadar ,lihat saja kita tunggu penjara buat mereka",gelar gulung jangan mudah provokasi kelompok kelompok merusakdan korup thd bangsa ugm lembaga kredibel universitas jelas bahwa ijazah jokowi asli mabes polri jelas kpu jelas bahwa ijazah jokowi asli roy cs mantan mentri era sby penuh korup jamaah acara tompel orang hti kemarinn bubar jokowi hati hati orang orang rekam jejak rusak negeri buat negara khilafah partai korup takut th kuasa jangan sampai negeri pegang orang orang buat gaduh rakyat harus sadar lihat tunggu penjara
UgxvjhglDK5NQ1GWx0t4AaABAg,Negatif,Saya percaya jkw ijazah nya asli ..mau putar putar yang otak nya nyangka palsu percuma gak akan mempengaruhi,saya percaya jkw ijazah nya asli ..mau putar putar yang otak nya nyangka palsu percuma gak akan mempengaruhi,percaya jokowi ijazah asli mau putar putar otak nyangka palsu percuma tidak pengaruh
