comment_id,label_pass1_x,confidence,text,label_pass1_y,label_pass2,conf_pass2
UgwovkNCpYt89yatrdJ4AaABAg,Netral,0.72,"Undang juga orang-orang yang ada di Video ini sekaligus dengan Roy Suryo, Rismon Sianipar dan dokter Tiffa di acara Dua Arah",Netral,Netral,0.6
Ugxa4o3BlJxHZToAjdt4AaABAg,Netral,0.65,"SEMOGA DALAM WAKTU DEKAT INI BAIK ""RAKYAT BERSUARA"" ATAU ""ILC"" BISA MENGUNDANG NARSUM MASING2 4 ORANG TIAP KUBU BIAR SEMAKIN JELAS BUAT MENGKLARIFIKASI KEBENARAN ATAU KETIDAKBENARAN :

ROYSURYO,RISMON,TIFA KOZINUDIN

RIFAI,JOSUA,PITRA,OVA EMILIA


SEMOGA HARAPAN SAYA INI BISA SAMPAI KE PIHAK INEWS TV ""RAKYAT BERSUARA"" / ILC ""BANG KARNI""",Netral,Netral,0.6
UgzSHTsAMgvgS5f47414AaABAg,Netral,0.6,"Ijazah  Bung Hatta dipajang di Erasmus University Rotterdam, Belanda, sebagai bentuk penghormatan atas perannya saat berkuliah di sana dan menjadi negarawan Indonesia pertama.
Nah sebaiknya Ijazah Pak Jokowi juga dipajang di Balairung UGM, sebagai bentuk penghormatan sebagai lulusan UGM pertama yang menjadi presiden Republik Indonesia",Netral,Negatif,0.5
UgyGJYZSgnhooLocR-B4AaABAg,Netral,0.6,"Ya UGM juga harus Tegas dan bisa menjawab, keaslian ibadah jokowi
Bil asli, dan tujukan ke aparat hukum",Netral,Netral,0.55
Ugw8lTiChAHg8Ngj-694AaABAg,Netral,0.65,"pihak UGM harus hadir di acara aiman rakyat bersuara dgn kedua belah pihak , roy suryo cs dan pihak jokowi",Netral,Netral,0.6
UgywjYUIx3v_7oQumE54AaABAg,Netral,0.75,Ya Allah betapa ruwetnya masaalah persoalan ijazajah pak Jokowi bagi kami ya Allah jelaskan kepada kami Aamiin,Netral,Netral,0.6
Ugxtc_wMbDyadgeAPRZ4AaABAg,Netral,0.8,Dari pada mikirin ijazah jokowi mending kita suarakan bubarkan DPR,Netral,Netral,0.55
UgwKh2NMoMAHfmxBu7B4AaABAg,Netral,0.6,"Yang tau persis ijazah Jokowi adalah Pratikno, karena sebelum pembentukan Kabinet Pratikno sdh berkantor di Istana.",Netral,Netral,0.55
UgwkdEpHzwlrtTFSCl54AaABAg,Netral,0.75,Ketiga orang ini harus di hadirkan di Rakyat Bersuara. Dan di sandingkan dg Roy Rismon Tifa.,Netral,Netral,0.6
UgyI9LLPd5YumNxKSB54AaABAg,Netral,0.7,Kok lebih percaya roy cs dr pada ugm...datanya mana???kok cuma omong thok...,Netral,Negatif,0.65
UgwtcdwaufdPnrL9CrF4AaABAg,Netral,0.75,BELUM  HABIS  ???  TENTANG   IYAZAH    ❤️❤️PA HI JOKOWI  ....ADA  APA SI !!!!,Netral,Netral,0.55
UgzlQDKnSkWVtlT-SE54AaABAg,Netral,0.7,"Yg berbohong masalah ijazah jokowi, pasti segera dilaknat Tuhan didunia dan akherat.",Netral,Netral,0.55
UgxoabUkH274wMBkXpl4AaABAg,Netral,0.7,Roy ketar ketir,Netral,Negatif,0.55
Ugz-81f4B7UlPvXvRKR4AaABAg,Netral,0.5,"Mantaaap, jelas dan tegas. Roy cs konyol dan ngeyel. Segera penjarakan saja.",Netral,Negatif,0.85
UgzgZac_hA-IXR4tfPV4AaABAg,Netral,0.8,Lebih percaya RRT,Netral,Netral,0.55
UgyCRKfnD5kDvf3UFJJ4AaABAg,Netral,0.85,"Kroni Jokowi msh berkuasa di institusi2 strategis, pemilu 2028 terancam dimanipulasi.
Media dan aktivis intelektual wajib bongkar modus mrk atau konsekuensinya: Gibran jd presiden.",Netral,Positif,0.5
UgxGPX1FBogVgnKkdPJ4AaABAg,Netral,0.75,"maafin cuman 9 tapi sisa tiganya nggak, kayak anak kecil dong, bedanya mukjizat dengan sihir, mukjizat itu dari ketulusan hati, dan sihir itu dari hati yang gelap, jokowi dajjal.",Netral,Positif,0.55
Ugyr7DIxgI8cjaf8gcd4AaABAg,Netral,0.9,Roy bikin malu ugm,Netral,Negatif,0.6
UgyEXKhj--HQBjdhfrl4AaABAg,Netral,0.8,Mereka mulai ragu membela jokowi,Netral,Netral,0.5
UgwPHY6NYbx8CAujxBh4AaABAg,Netral,0.85,"Ini sepertinya orang2 baru,,klu zaman Jokowi pasti bukan ini",Netral,Netral,0.55
UgxNJcvFgv7w69cPr5d4AaABAg,Netral,0.75,Ayo UGM tuntut roy suryo cs ke pengadilan,Netral,Negatif,0.7
UgyPxY90RbXgY82E7aZ4AaABAg,Netral,0.85,Universitas terkenal gara² jokowi,Netral,Netral,0.5
Ugxe1h9Jp-enMrH3V5V4AaABAg,Netral,0.85,Orang2 yg sudah tertawan jokowi 😂😂,Netral,Netral,0.5
UgzMn_VqO-HANI4PBWl4AaABAg,Netral,0.7,Masalah yang sudah lama tidak ada yang selesai ijazah Jokowi yang sudah lama palsu atau tidak manusia yang jujur dan bertakwa lah dan takut kepada Allah SWT nanti diakhirat ingat kan kita kepada rakyat yg selalu memilih rakus untuk,Netral,Netral,0.55
Ugztc-at1x_DP0RO9hV4AaABAg,Netral,0.8,"apa yg lain juga pux data"" seperti itu atau hax Jokowi",Netral,Netral,0.5
UgwOsIgPV8N_jxfdbBh4AaABAg,Netral,0.8,Se kelas UGM sj begitu lucu ..ap lg p jokowi   😂,Netral,Positif,0.5
Ugw231LxRNUxkzkJSah4AaABAg,Netral,0.85,Kènapa RRT tak dialog begitu ?,Netral,Netral,0.55
UgwxniAtvzJ8P0nUdrV4AaABAg,Netral,0.95,Muak membahas ijazah Jokowi saja. Hanya mengeluarkan anggaran saja. Ijazah Jokowi slesai da lam waktu 15 menit,Netral,Netral,0.6
UgwzmJMULLEw5rwJQKB4AaABAg,Netral,0.75,"Seharusnya pihak UGM ikut Melaporkan roy suryo cs dan teman nya, pihak UGM sampaikan secara terbuka.",Netral,Negatif,0.7
UgzO7TqrCdA_0XMV1L94AaABAg,Netral,0.5,"Setelah lama di perdebatkan ijszah Jokowi, rakyat sdhnmuak bahwa maksudnya mau merongrong Jokowi / Gibran tapi beliau semakin terangkat dan jelas masyarakat menilai",Netral,Negatif,0.6
UgxVZGopPpj5WPCB7gp4AaABAg,Netral,0.8,Jkw bayar berapa pak/bu?,Netral,Netral,0.55
UgwtSrkvP-G-bsy3psl4AaABAg,Netral,0.75,Ova rektor UGM pilihan jokowi / mulyono,Netral,Positif,0.5
Ugyb4OWeZw91B-ZDHXl4AaABAg,Netral,0.8,roy suryo harus tau ini,Netral,Netral,0.55
UgySCQDJEtvuxJp1y8J4AaABAg,Netral,0.8,Pak jokowi itu unik beliau sangst menikmTi kegaduhan kan rakyat ramai namanya mencuat,Netral,Netral,0.5
UgyYUX2N6rQc-1RQtel4AaABAg,Netral,0.8,UGM universitas gajah mulyono,Netral,Netral,0.6
UgwvlDxAjndB5K6tLpl4AaABAg,Netral,0.85,"Sesungguhnya kita tidak tau benar tidaknya masalah ini. Tapi, Jika Jokowi bohong kita simpulkan betapa besar dosa kebohongannya dan Apabila beliau jujur, betapa besar Pahalanya, bahkan hinaan dan cacian yang beliau terima. 

Lebih baik diam, karena kita tidak paham dan tidak tau apa yang terjadi dan apa tujuan mereka masing-masing pihak. Tujuan dan Alasan kita tidak tau. Jangan sampai kita juga nanti dipanggil untuk pertanggung jawabkan tuduhan kita, atau pembelaan kita.",Netral,Netral,0.6
UgzTHbBIi_22BzsfoBN4AaABAg,Netral,0.75,Peraturan bisa berubah 2sesuai kepentingan jokowi,Netral,Positif,0.5
UgyepFWcr6nJh5eEThZ4AaABAg,Netral,0.7,Mana mau aiman mengundang  rektor ini pasti malu kecuali grombolan Roy cs dia takut dipecat sama bosnya,Netral,Netral,0.45
UgzczNNUdoAmJb80UAx4AaABAg,Netral,0.7,"Aduhhhh...mental.
IKN impian Jokowi utk memartabatkan Indonesia didunia sudah terbina.",Netral,Netral,0.55
UgzWcfA_5SoSNUC9qpx4AaABAg,Netral,0.5,Tak mungkin ijazah Jokowi diperlihatkan Roy panci cs dan barisan sakit hati kecuali yang berwenang...,Netral,Negatif,0.65
