comment_id,video_id,source_title,source_url,published_at,like_count,text,label,annotator,confidence,notes
Ugwq35q-HkGEHUDMipp4AaABAg,5btOJ_Wru2k,[FULL] Membongkar Sosok 'Bohir' di Balik Kasus Ijazah Jokowi | Rakyat Bersuara,https://www.youtube.com/watch?v=5btOJ_Wru2k,2026-04-09T14:37:28Z,0,Michael ngeles teruss🤣🤣,Positif,claude-llm,0.6,ejek Michael ngeles bela Jokowi
UgxiqIywBA6Ib_OZz4t4AaABAg,TcNSqpBPle4,"FULL Dihina Soal Ijazah, Jokowi Akhirnya Angkat Suara! | Rakyat Bersuara | 20/05",https://www.youtube.com/watch?v=TcNSqpBPle4,2025-07-30T12:19:35Z,0,"Sudah ada bukti itu ijasah Jokowi , Tapi Yakub tetep mengelak",Negatif,claude-llm,0.65,"ada bukti ijazah, Yakub mengelak"
Ugym53nzmE-lNOWWZgF4AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T17:54:54Z,1,Video 3 jam dengan puluhan iklan. Mantap rakyat bersuara 👍👍👍,Netral,claude-llm,0.55,"sindir durasi iklan video, OOT"
UgxwV3ZVYZFkCMQ_s0l4AaABAg,UE2gk8vMgBQ,Gebrakan Baru Rocky Gerung Memasuki Drama Kasus Ijazah Jokowi | AKIP tvOne,https://www.youtube.com/watch?v=UE2gk8vMgBQ,2026-01-27T01:59:13Z,1,Rocky Gerung semakin lengket dengan pdi sepertinya di luar nurul 😂😅,Netral,claude-llm,0.5,sindir Rocky dekat PDI
UgwGP5aZVcDyUZoUoN14AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T16:18:48Z,1,"Kebenaran akan menemukan jalannya sendiri. Terima kasih inewstv. telah menghadirkan progam Rakyat bersuara. Sebagai tontonan, yang menurut saya. bisa mencerdaskan masyarakat. 👍",Netral,claude-llm,0.5,"apresiasi program, tak condong"
UgwWprNhuu_pmGMBzaV4AaABAg,UE2gk8vMgBQ,Gebrakan Baru Rocky Gerung Memasuki Drama Kasus Ijazah Jokowi | AKIP tvOne,https://www.youtube.com/watch?v=UE2gk8vMgBQ,2026-01-27T03:52:18Z,0,Pantau2 lama2 dulu... rasa2 enak masuk sudah hahahahaha.,Netral,claude-llm,0.45,komentar tak jelas
UgyCJJttd6IKqds1TpJ4AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",https://www.youtube.com/watch?v=UEocTRWhtsE,2025-12-17T10:51:59Z,0,Artinya kamu sudah tertipu yg jelas yg kamu bela tidak benar hanya cari duit juga tambah bongak itulah klu udah terdesak bilang kriminalisasi,Positif,claude-llm,0.8,"tertipu, yang dibela tak benar"
UgyzqdHvDHV8W89wcxt4AaABAg,u4zZ7gHRBaU,"Andi Azwan Ngegas Ijazah Jokowi Asli, Refly Harun: Saya Tantang Anda! Ijazah Kita Uji Bersama | NTV",https://www.youtube.com/watch?v=u4zZ7gHRBaU,2026-01-21T09:48:24Z,0,"Sdhlah azwan carilah nafkah utk ank bini dan diri sendiri yg halal, kau seolah2 yg paling pintar, pintar ngeles",Negatif,claude-llm,0.65,"ejek Azwan, sebut pintar ngeles"
UgwNYhm6njVpL3kBk994AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T08:12:37Z,0,Yg pasti Jokowi harus tanggung jawap. Dosa salah ude bnyak d negri ini,Positif,claude-llm,0.85,"Jokowi harus tanggung jawab, dosa"
UgwJ-QZlpIX2VKa3xM54AaABAg,u4zZ7gHRBaU,"Andi Azwan Ngegas Ijazah Jokowi Asli, Refly Harun: Saya Tantang Anda! Ijazah Kita Uji Bersama | NTV",https://www.youtube.com/watch?v=u4zZ7gHRBaU,2026-01-20T03:44:25Z,0,Semoga pembohong kasus ini mendapat kutukan dunia akhirat. Aamiin,Negatif,claude-llm,0.7,kutuk pembohong kasus ini
UgwJ3mnJ3JnOBqE5UgR4AaABAg,HcwZx39bP80,"Kasus Ijazah Jokowi, Apa yang Sebenarnya Terjadi? #HOTROOM",https://www.youtube.com/watch?v=HcwZx39bP80,2025-12-18T05:59:44Z,5,Kalau RAKYAT suatu negara membela kaum dzolim maka tunggulah bencana besar akan melibas.,Netral,claude-llm,0.45,"peringatan umum bela dzolim, ambigu"
UgwUE5NNjNhL2OT-0il4AaABAg,UE2gk8vMgBQ,Gebrakan Baru Rocky Gerung Memasuki Drama Kasus Ijazah Jokowi | AKIP tvOne,https://www.youtube.com/watch?v=UE2gk8vMgBQ,2026-01-27T08:31:54Z,0,Lihat tu hati benci nampak dimuka refli 😂😂😂😂😂😂,Negatif,claude-llm,0.6,ejek Refli hati benci
Ugz26tHlOFKM5GZM1ox4AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",https://www.youtube.com/watch?v=UEocTRWhtsE,2025-12-16T04:54:37Z,0,"dari dulu berkoar2 disuruh tunjukkan giliran ditunjukkan masih ada aja ceritanya,apa maunya kelompok ini!!!!!!!?????.",Negatif,claude-llm,0.85,"kritik penuduh, ijazah sudah ditunjukkan"
