comment_id,label_pass1_x,text,label_pass1_y,label_pass2,conf_pass2
UgwwW0FPqFUnu3Z4IBB4AaABAg,Negatif,IJAZAH JOKOWI ASLI ... NO DEBAT .... ASLI ASLI ASLI ... JELAS,Negatif,Negatif,0.97
UgxCXr941JGnkn7nY_J4AaABAg,Negatif,q yakin ijaza pk jokowi asli,Negatif,Negatif,0.95
UgySJWytNUPY_3BsiLB4AaABAg,Negatif,Ijasah jokowi Asli,Negatif,Negatif,0.95
Ugw55Izp8XKjS-2kQIx4AaABAg,Negatif,"Mulutnya mat tompel ibarat Comberan...Waspada ex HTI ex FPI aktifis Khilafah......saya Yakin Ijasah Bpk Jokowi Asli...logika aja Kalo Ijasah Bpk Jokowi palsu..otomatis Pihak UGM Pasti melaporkan ke Polri dan Bpk Jokowi pasti ditangkap dan diadili...ibarat polisi dapat laporan ada uang Palsu..pasti polisi gercep menelusuri menangkap pengedar dan bahkan diusut tuntas sampai pemuat / pencetak uang palsu..
Salam Sehat Salam NKRI
♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️",Negatif,Negatif,0.9
UgyKAQ-drgQr1Q1dK5Z4AaABAg,Negatif,Pengacara Roy ini sudah gila . Sudah ada pernyataan rektor UGM bahwa Jokowi memang alumni UGM . Ijazahnya asli .,Negatif,Negatif,0.9
UgyLiZibD03CZcSqI1N4AaABAg,Negatif,Penjarakan rismon p jk. Apapun yg dibicarakan rismon bosit,Negatif,Negatif,0.75
Ugzu6z9bzqAT08JUJ6x4AaABAg,Negatif,"Benar..yg dimaksud palsu ini apakah fisik ijasahnya atau proses memperoleh ijasahnya?
Karena secara fisik sudah dinyatakan asli, dan pernyataan ini oleh instansi yg mempunyai kewenangan.
Begitu juga secara substansi memperoleh ijasahnya juga sudah dinyatakan benar ada dari pendaftaran sampai wisuda dan pernyataan ini dikeluarkan oleh UGM sendiri.
Jadi dari kedua sisi..baik secara fisik dan cara memperolehnya juga sudah di nyatakan asli dan benar.",Negatif,Negatif,0.9
UgyBBgDYA5psSwIy_2F4AaABAg,Negatif,"Ijazah asli karena ada legalisir. Yg primer untuk apa lagi, jika pihak terkait sudah menjelaskan asli",Negatif,Negatif,0.9
Ugw9cMQDkGSi3j8-CzB4AaABAg,Negatif,"KITA SEMUA SDH DI BODOH2 I OLEH ROY SURYO, KNAPA KITA HARUS TURUTI SEMUA KEMAUANNYA, KLO UGM/POLISII SDH KATAKAN IJAZAH JKW ASLI MAU APA LAGI, ...KLO MENURUTI ROY CS TTG IJAZAH JKW TDK KESUDAHANNYA TIAP SAAT BERUBAH SESUAI KEHENDAKNYA CONTOH, TDK ADA WATER MAKS, TDK ADA EMBOS, BESOK LSIN LG FOTONYA BKN FOTO JKW, LAIN WAKTU BERUBAH LAGI IJAZAHNYA BARU DIBUAT DI THN 2000AN DST. TDK ADA KESUDAHANNYA... AKHIR DARI INI SEMUA TDK LAIN KECUALI DI PERSIDANGAN...",Negatif,Negatif,0.88
UgwVJIiKwRMR8-xvRMV4AaABAg,Negatif,kan ijazah nya sdh ditunjukan om hotman ko masih tanya ...,Negatif,Negatif,0.85
