comment_id,llm_label,confidence
Ugw_t0236jJXffSXFDZ4AaABAg,Negatif,0.8
UgwRtZ3G8NvTegNfVaZ4AaABAg,Positif,0.8
UgwKBq4-BTzaczGygd94AaABAg,Positif,0.9
UgzC8OrbwQhZG4D16rh4AaABAg,Negatif,0.85
UgwFwdpByq-roQkI6Zt4AaABAg,Positif,0.9
Ugzy1eI5CmRnNM4-hCl4AaABAg,Negatif,0.75
UgwnUK5_P_DK1DfaZtN4AaABAg,Negatif,0.75
UgzoPcxoho5qXUIRN0Z4AaABAg,Positif,0.85
UgxTdtDDia_pWabzcWd4AaABAg,Negatif,0.75
UgzuRf7SOf1bvuA51p54AaABAg,Positif,0.95
UgzoJhruwCXMYD8srEV4AaABAg,Negatif,0.7
Ugx0XSR9hBJRYAQ4xFB4AaABAg,Negatif,0.8
UgzNxqrS9XOrx_4lXBh4AaABAg,Negatif,0.8
UgyMsU7ld5jovSoifup4AaABAg,Negatif,0.85
Ugxy5OD5SspJzDHoOHR4AaABAg,Positif,0.8
UgwB9NRKoYaqZzoP_Np4AaABAg,Positif,0.8
UgxVN4nTgnOgDYIzjMV4AaABAg,Negatif,0.8
Ugw_kaAcSV6tXfmIX294AaABAg,Positif,0.85
UgyHUMX2_9-pzpT7r2R4AaABAg,Positif,0.8
UgzCld30tjVaYBGdMgd4AaABAg,Positif,0.8
UgwI1XImU-_-K9ZhQWd4AaABAg,Negatif,0.8
UgwvdzFFs19WJyt-Ygd4AaABAg,Negatif,0.82
UgyGMONiXs1c-WDd85Z4AaABAg,Positif,0.9
UgwBqpUykckbMSZAzRN4AaABAg,Negatif,0.75
UgzwHMEgIaHo_kFeEpN4AaABAg,Positif,0.9
UgyucpvxqN2GMjZzGix4AaABAg,Negatif,0.75
UgywWoRlbzcMspLVVX94AaABAg,Positif,0.8
UgyrqzAvYIBSH-e3i4l4AaABAg,Positif,0.88
Ugz3qhc2Tb8_kREqD6J4AaABAg,Positif,0.8
UgzK38fRjZheriIHd3V4AaABAg,Positif,0.8
UgzRb2Yw8p8DchMykNV4AaABAg,Negatif,0.8
Ugwss9rbfuW59VrDCcN4AaABAg,Positif,0.85
UgzsLeiZ9FkzL7FEnqJ4AaABAg,Negatif,0.7
UgzhlZ1L3nOTJWaCZvF4AaABAg,Positif,0.8
UgzZNaG1KE74StPhvDl4AaABAg,Positif,0.9
Ugzd6uqZSPpZNf8iK_14AaABAg,Negatif,0.75
UgxrrQAE7qH3jaddPdB4AaABAg,Positif,0.85
Ugx5M1IPKrs-pjOF0Cl4AaABAg,Positif,0.8
UgzHW0qvPpfrxYDG4cF4AaABAg,Positif,0.9
UgxgMLWKoxaGgC6bdzh4AaABAg,Positif,0.85
UgwJE9rJnRUAMjAtkj14AaABAg,Positif,0.8
UgyqHDAA_8OVFbQWZHF4AaABAg,Positif,0.8
Ugz65r8mp4SUNgdquSZ4AaABAg,Positif,0.9
UgyEpMsYSEs1R1Z6mg94AaABAg,Negatif,0.65
Ugyin-GubakA90hbZjh4AaABAg,Negatif,0.75
UgzYhqqHU6ueAMCerpR4AaABAg,Positif,0.8
Ugwb9cKzm77HMkF21iF4AaABAg,Positif,0.85
UgxM3fJL8re3jdjNr_d4AaABAg,Positif,0.8
UgzKNOtF_6KcILJmQO94AaABAg,Positif,0.85
UgyILxYGbeAzCX4wVr54AaABAg,Negatif,0.75
UgyfM_ec6p6OyUev6Qp4AaABAg,Negatif,0.8
UgxWu7VBzd85vbIQwVt4AaABAg,Negatif,0.8
Ugx4VbL_wRoZsFnFXbB4AaABAg,Positif,0.8
UgyGjbxbmZTd6Uzc0Kt4AaABAg,Positif,0.85
UgzJ6RZcNYPJCQjayKB4AaABAg,Positif,0.8
Ugzao_JZHby-PRRuQad4AaABAg,Positif,0.9
UgyAdS3vWIiZi6-fUeB4AaABAg,Positif,0.88
Ugw9Zqksxr5UqQzuXzp4AaABAg,Positif,0.85
Ugxfw4bbR3AFDq-NgYV4AaABAg,Positif,0.8
UgxvIlMOn2vmFPxTfQ14AaABAg,Positif,0.9
Ugz2GiAw1nE5ZVVqiZ54AaABAg,Positif,0.9
Ugw72T3HBVWdM0w6LBh4AaABAg,Positif,0.82
Ugxdb_S3b8KPCTUPp7J4AaABAg,Positif,0.85
UgymHPMzfcop95ucF8F4AaABAg,Positif,0.8
Ugzh3quRq02sdiv8aBt4AaABAg,Positif,0.82
UgyMk32IwrcJctyfH0F4AaABAg,Positif,0.85
UgxffwEwR7XWIqa3I4l4AaABAg,Positif,0.8
UgztAIdwrhGEdaI1DS54AaABAg,Negatif,0.75
UgwYKV5FeEMy8xknxNB4AaABAg,Positif,0.85
UgwqBr0eC5gZpuBvAIF4AaABAg,Negatif,0.75
UgycVqbfvSwP4w7JGtN4AaABAg,Positif,0.8
UgzJMqomeZbWWp8gJ3x4AaABAg,Positif,0.8
Ugwqk_OXUpL6PHKbp014AaABAg,Positif,0.85
UgyCY_n9jeI0VI2xOEp4AaABAg,Negatif,0.75
UgxybpTkMwImr20LvoB4AaABAg,Positif,0.8
Ugzz5B5lrZeIcLDKJhl4AaABAg,Positif,0.9
UgykEM72bY3iQet5bUt4AaABAg,Negatif,0.75
UgxAvMaerF4nqIDAkap4AaABAg,Positif,0.8
UgyMpj5aCDS3hFncMD54AaABAg,Positif,0.85
UgyKahBHLEXmIw8aQph4AaABAg,Positif,0.85
UgyQJdhMqoA2OHdBRZJ4AaABAg,Positif,0.85
Ugxr7R-msJkAaY_6Rop4AaABAg,Negatif,0.7
Ugz7wh0o6xB4fm3aWy14AaABAg,Positif,0.8
UgyCNqJTZQf2MZXl08R4AaABAg,Positif,0.9
UgwJW07cmsWjcdA4Ck94AaABAg,Positif,0.85
UgxzUFFleph5_iYdHtl4AaABAg,Positif,0.8
UgxBIQdA40TL1DAwYhJ4AaABAg,Positif,0.88
UgzK-1gOrr-T2fAsZph4AaABAg,Positif,0.85
UgxF8Q79ZlbSig_jb_d4AaABAg,Positif,0.8
UgyJFcRHPz-pCTJGdiB4AaABAg,Positif,0.8
UgxiNCLS67dIts5o9eZ4AaABAg,Positif,0.8
UgzRCkvDIMS2_mzxn8J4AaABAg,Negatif,0.8
UgyCF_tBJNWT-fnF6Cx4AaABAg,Positif,0.85
UgzowBoblud--XBwv2Z4AaABAg,Positif,0.9
UgzRDYHGOoEk8_y5UAV4AaABAg,Negatif,0.8
UgyFaWqY05gnNeyY0g94AaABAg,Positif,0.8
UgzKqktba_gNMSef1Ix4AaABAg,Positif,0.9
Ugy5mb7ZBjfwLEN_9UJ4AaABAg,Negatif,0.7
Ugwbk0FDN7br3lxq2wl4AaABAg,Positif,0.85
Ugz-EoEK6185o3HQMlZ4AaABAg,Positif,0.8
UgxtfELr9Y2rX_xSG6R4AaABAg,Positif,0.85
UgziWABl7UbiuXKkVxp4AaABAg,Negatif,0.75
UgzURvULGMDuSrKFwo94AaABAg,Positif,0.95
Ugytqj-L6-fQ_w4ElhJ4AaABAg,Positif,0.85
UgxeJkYYCmGTjn2sWm94AaABAg,Positif,0.85
UgxYZw6hT-WC5wEWLaN4AaABAg,Negatif,0.8
UgwXMldinZ8o63L82Lt4AaABAg,Positif,0.85
UgwbVVdIQZr7hONMmjV4AaABAg,Positif,0.8
UgweghkrHyGAQLgG9u14AaABAg,Positif,0.8
Ugx8drdTADlGAlagZt14AaABAg,Positif,0.8
UgwojUlrhUY8jkAXjuZ4AaABAg,Positif,0.85
UgwhJbMoLicMQiyjA_F4AaABAg,Negatif,0.8
UgxVAMcIEibVRqznrjp4AaABAg,Positif,0.8
UgyyKJFCnCCVnyJZhtF4AaABAg,Positif,0.95
UgwKTJ3QCTzfMNicayZ4AaABAg,Positif,0.8
Ugxd1X7QJI0PC7zNTtl4AaABAg,Positif,0.85
UgyzPJ6PzUWkxeuOQhZ4AaABAg,Positif,0.8
UgwJ0beBiItmAX61afB4AaABAg,Positif,0.85
Ugzcj-Fl7oDiCczvVnl4AaABAg,Positif,0.85
Ugxi3nZBHG0FwILlcIh4AaABAg,Positif,0.9
UgzUGote4WQaaZZSk4d4AaABAg,Positif,0.8
Ugy10J84FpZIKW33EC14AaABAg,Positif,0.85
Ugz8NKsUD1ZUpI1419l4AaABAg,Positif,0.8
UgzkiEEPVgau-tKocH94AaABAg,Negatif,0.85
UgyyCiN8JiBf2ebDXqh4AaABAg,Negatif,0.75
Ugyx-d20__BO17dhxat4AaABAg,Positif,0.8
UgxMlmHgRs9mjYsWrax4AaABAg,Positif,0.8
UgxpWEE5rvHuvV2RRMJ4AaABAg,Positif,0.85
UgyxAUwSQXoR0J5_JLN4AaABAg,Positif,0.85
UgymRwGXU4LDtTFrktR4AaABAg,Positif,0.9
UgzTl0uoSHNTd_tbbeB4AaABAg,Positif,0.8
UgwFn185GeRvSRWkJoF4AaABAg,Negatif,0.78
UgxEfIwze8kp3_1Wnup4AaABAg,Negatif,0.75
UgybuKsiBmYnNX5lASZ4AaABAg,Positif,0.85
UgyJhFT4SpbNg-DmIEV4AaABAg,Positif,0.95
Ugye_Wcv5TXZfNlbkXh4AaABAg,Negatif,0.8
Ugyamy-bo3glFdvuhzl4AaABAg,Positif,0.85
UgyFT3jXNTnmHwo-GAt4AaABAg,Negatif,0.78
Ugyc_c4jDa339ZQ2lQN4AaABAg,Positif,0.8
UgxONhVnxHGN3gwDuoN4AaABAg,Positif,0.85
UgySTG2Qf23txo4urX14AaABAg,Negatif,0.75
UgyzR7ljHC38gGzf6at4AaABAg,Negatif,0.85
UgzK7qWv452c7FxpLz14AaABAg,Negatif,0.75
Ugx5dXTMXKIov454WdF4AaABAg,Positif,0.8
Ugw0NsyChhuScv8qAwB4AaABAg,Positif,0.9
Ugza3XNTNyVmVCZWKHp4AaABAg,Positif,0.8
UgzGmpII1NRXAqYbHkB4AaABAg,Negatif,0.75
UgzDXArcUkkrmqI6Syl4AaABAg,Positif,0.85
Ugx0MxyIs1mJON9xBLZ4AaABAg,Positif,0.8
UgzorcOzjAtG6shVUXt4AaABAg,Positif,0.82
UgxahXwXvn8RXZi9RI54AaABAg,Negatif,0.75
UgyjB285MuwQuibkqqR4AaABAg,Negatif,0.8
UgyrGvxiY5aen1KfM2h4AaABAg,Positif,0.8
UgxOfrBAkydbLrtopg54AaABAg,Positif,0.82
UgwSJkJGTGCVB0iT13R4AaABAg,Negatif,0.7
UgyV2-VhnfrZyzGEBgx4AaABAg,Positif,0.9
Ugz3yPp0mqbBNeqg7xt4AaABAg,Positif,0.95
Ugw-Z9UfItwLrgqCnSB4AaABAg,Positif,0.85
UgxuKsq8MXLKhReofnJ4AaABAg,Negatif,0.85
Ugw4Qx6eWGvxta6xV6V4AaABAg,Positif,0.85
UgyOz3W3YPjSjrwJiy54AaABAg,Positif,0.85
Ugwfjo0K9Q2TLPjX5PJ4AaABAg,Positif,0.8
Ugyn3boSWrB0zjxiN754AaABAg,Positif,0.85
UgzwfMWPLKVIscXFCw14AaABAg,Negatif,0.75
UgyX4VknekJNceKNz4p4AaABAg,Positif,0.82
UgyHQd1UvcxlK0BvheB4AaABAg,Positif,0.85
Ugw7ewaD_262VlsZLoZ4AaABAg,Positif,0.9
