comment_id,llm_label,model_pred,margin,confidence,text
Ugxx8sMFuG31nDE0Tst4AaABAg,Negatif,Positif,5.4744,0.8,"Ijazah dr palsu ijazahnya asli, kempuanya palsu cetek"
UgwXBEsA81ZcfujBHm14AaABAg,Negatif,Positif,3.5629,0.8,IJAZAH NYA ASLI..  Orang nya yang palsu 😂😂
Ugw3QEb7P2RU0A2HJeB4AaABAg,Netral,Negatif,2.8343,0.9,hati roy cs cuci dg rinso biar tak ada kebencian dihatinya.apapun yg dilakukan pak jokowi cs tak ada benarnya.
UgxdtwW0gD6fCA_BYYt4AaABAg,Negatif,Positif,2.5894,0.88,"kalau emang yakin palsu mah terusin aja sampe pengadilan, sampe jokowi ketauan pake ijazah palsu, emang pada takut dipenjara aja karena mereka sendiri sadar kalo ijazah jokowi asli hahahah"
Ugw5NAKQ4zs9j8GGYnJ4AaABAg,Positif,Negatif,2.5864,0.85,"Jika pak Joko Widodo berkata: ""Saya tidak mau berspekulasi dan saya juga tidak mau menuduh siapapun. Biarkan proses hukum dan proses yang lain berjalan apa adanya."" Betul, tapi kenapa pak Joko Widodo tidak mau datang ke pengadilan untuk menjelaskannya? Kan dengan cara begitu urusan akan selesai?"
UgwrwAdLe6bYG27imTV4AaABAg,Negatif,Positif,2.3762,0.8,TANGKAP OVA EMILIA REKTOR UGM YANG TELAH MEMBOHONGI RAKYAT INDONESIA😢😢😢😢😢😢😢😢
UgxDsUIJGVL6VuUF3l94AaABAg,Negatif,Positif,2.3011,0.8,"Kasus ini mirip cucu palsu ....
Narasinya muter², padahal cukup tes DNA selesai ....
*Perbedaannya, kalau ijazah pak Jokowi jelas asli, kalau yg sebelah asli cucu palsu* 😅😅😅😅😅"
Ugx4UKquY3BAcbMaBpV4AaABAg,Positif,Negatif,2.2379,0.9,"Kalo jokowi menuduh fitnah, dia juga harus membuktikan kalo ijazahnya asli. Apa yg dia dalilkan dia jg harus membuktikan."
UgxAxHyVxW0wppygdXR4AaABAg,Negatif,Positif,2.2315,0.8,Ijasah Jokowi yg di teliti Roy Suryo jelas palsu 1000persen.. wong yg di teliti foto kopi ijasah..  foto kopi kan palsu bukan asli😂😂😂😂😅😅😅😂😂
Ugwwz5G2bgDOfHaKtAx4AaABAg,Positif,Negatif,2.144,0.85,Buktikan saja Pak Jokowi ijasah Bapak. Agar Roy Cs bisa yakin bahwa Bapak punya ijasah yg dimaksud.
UgxCATpdW5txbyJgorZ4AaABAg,Negatif,Positif,1.96,0.75,"MK berdiri tegak lurus kepada KEBENARAN BUKAN MEMBELA KEPALSUAN, yang merusak bangsa dan negara dan Hukum. Semoga Allah SWT melindungi kebenaran diatas kepalsuan."
Ugwqk-HAS8QkE-_Whxl4AaABAg,Negatif,Netral,1.9353,0.75,Bu Diana pancen Mantaaap n josss top markotop si Roy glagapan dibilangin korupsi panci  wadau malu banget maaaas sudah ga ada harga diri nya dong
Ugz0tXQOZi3HUqC_jp94AaABAg,Negatif,Netral,1.9331,0.75,"Disinilah tempat yg bagus buat si panci gak cengar cengir cengengesan,kena ketok ntar sama palu hakim Emka kalo berani hahahahha"
UgxU3heY-ObK67b5MDZ4AaABAg,Negatif,Positif,1.8995,0.75,*AYO PARA TERMUL LANJUTKAN MEMBELA KEBOHONGAN / KEPALSUAN SELAMA 10 TAHUN*
UgwZMPyxXF288ZVvtrl4AaABAg,Negatif,Positif,1.8983,0.8,"kalau para setan yakin ijasah Jokowi palsu?, ngapain nyuruh Jokowi nunjukin ijasahnya?,kan lucu 😅😅😅😅"
UgxUzh3q-XRd-q4T8Z54AaABAg,Positif,Negatif,1.882,0.85,KASUS POLITIK DAN HUKUM JOKOWI HARUS DI HUKUM.
UgyQ6TbWOX7tiBeTZ1Z4AaABAg,Netral,Negatif,1.8714,0.95,Pak Jokowi idola saya 👍
UgwMm9v4qU70xMQ09cJ4AaABAg,Positif,Netral,1.863,0.85,Gedabrus semua.tidak.malu.urat.sudah putus
UgyKl-BShoSadtgJYGR4AaABAg,Negatif,Positif,1.8484,0.9,"Buktinya ijazahnya asli Jokowi sdh ditunjukan, ,GK selesai juga"
Ugzpltzf0Kb9SQWfUk54AaABAg,Positif,Netral,1.8351,0.95,Palsuu... 100% ...😂😂😂😂
UgxM1-Q7yHDFclGGa-N4AaABAg,Negatif,Netral,1.8093,0.75,Org gila ya repot mw tunjukn juga nmanya juga org gila...repot🤣🤣🤣🤣
Ugw1qbCz5xx2LwzovAx4AaABAg,Netral,Negatif,1.8021,0.9,Ya Allah Gayuuuuus udah tua tobat si kata gua mah
UgyPnIQjB4azk-TMhl94AaABAg,Negatif,Positif,1.7876,0.85,"Cuma orang bodoh yang percaya klu ijazah pak jokowi palsu,, sudah jelas2 punya temen satu angkatan,, klu palsu dari awal nya aja pas jadi wali kota klu itu palsu mana mungkin. Dia bisa lolos,, kertas ijazah nya aja udah tua kok,,"
Ugz0go_QV8u5GAQLeLV4AaABAg,Negatif,Positif,1.7536,0.8,"Si refli maunya, ijazah pak Jokowi di uji, sampai menjadi palsu😅😅😅😅"
UgxI3i6luEL-0vaOhuN4AaABAg,Negatif,Positif,1.7008,0.8,"BIASA ROY PANCI MENTAL.P.RADEN
SEMUA HARUS NURUT APA KATA DIA...
DEMI UANG BOHIR.
KALAU PALSU YA HARUS PALSU...
UDAH NYOLONG DATA DIAN SANDI...SECARA DIAM DIAM
FOTO IJAZAH DARI DIAN SANDI LOH ""JAJARAN GENJANG""
KOK SAAT TERSEBAR DI MEDSOS JADI PRESISI,NO IJAZAHNYA DI TUTUP UNTUK ALIBI "" IJAZAH PALSU""
INILAH YG DI SEBUT MALING TERIAK MALING
ATAU MANIPULASI DATA
LIHAT DARI GAYA BICARA ( GESTURE TUBUH ) BANYAK BOHONGNYA ...JANGAN TERGODA PENAMPILAN ROY PANCI 😊"
Ugyc8193PApYPRk4zdF4AaABAg,Negatif,Positif,1.6771,0.8,Ijazah Pak Jokowidodo Dengan Kinerjany Tak Dicurigai Hanya Kosinuddin Yang Pembohong Dan Lainnya Aja Yang Pembohong Dan Bodh
UgxMvk-PzDyKX71U82N4AaABAg,Netral,Negatif,1.6357,0.95,Seha slalu pak jokowi
Ugw1IkmYuwQjbdqtHoN4AaABAg,Netral,Positif,1.5949,0.9,Azmaan bohong mulu
UgxyuGDefRE0qzd1wFV4AaABAg,Negatif,Netral,1.5809,0.8,Hahahahaha si rafli di tolakkk
Ugwxvlfa6VGlqO1UeGB4AaABAg,Negatif,Netral,1.5801,0.75,Ini bang hotman dari pertams narasinya suryo  kebenycian
Ugy8qWwdSoVr7QvbJCB4AaABAg,Negatif,Netral,1.5689,0.8,"Astaghfirullah....sabar nggih bapak Jokowi, semoga panjenengan senantiasa dilindungi oleh Alloh SWT, aamiin....🤲🤲🤲"
Ugw682kFLkP-vLleUCZ4AaABAg,Positif,Negatif,1.5655,0.85,"Yg jadi masalah ijasah, jngan bicara sana sini belok kiri kanan tunjukan aja ijasah aslinya"
UgxfkOQUCzfwxoXDgRV4AaABAg,Positif,Netral,1.5592,0.85,tunjukinijazahnya wahai termul apapun lo pmpngin lo pembual.
UgxzLFu5bAAJe89gLTV4AaABAg,Negatif,Netral,1.5427,0.8,Begitu mbah Tedjo ngomong ttg kebohongan Roy Panci lsg menyela ...mbah Tedjo emang CeBoKeR CerdasBongkarKebohonganRoy 😂😂😂😂😂
UgyGMONiXs1c-WDd85Z4AaABAg,Positif,Negatif,1.5315,0.9,RAKYAT INDONESIA INGIN PAK JOKOWI MENUNJUKKAN IJAZAHNYA DAN DI UJI OLEH PARA AHLINYA ( PAK ROY SURYO CS)
Ugz46TnVQ-HS0LlCY6J4AaABAg,Negatif,Positif,1.4903,0.8,Kebongkar akhirnya kebohongan para termul di episode ini
Ugwn2dmY3OYCKtwwLyZ4AaABAg,Positif,Negatif,1.4722,0.85,"Perlu diketahui, bahwa dalam masalah ini substansi maslah dan mentersangkakan orang itu tak nyambung ...... ya di tanya ijazah malah jawabannya tuduhan pencemaran baik. 
mana ijazahnya dulu tunjukkan dan persilakan untuk di uji sesuai prosedur , jika ternyata ijazahnya asli , baru boleh mereka yang tuduh ijazah palsu dituntut . gitu lhoo 
Dikasih Tuhan akal sehat dan nalar waras jangan di bloon bloonin lah"
UgziuGkca1J5JP1kjep4AaABAg,Negatif,Positif,1.4609,0.85,Gogon dan andi aswan harus segera dipenjarakan yg sangat voksl membela ijazah palsu.
Ugyb3iyh_4b-RH2p2Ct4AaABAg,Negatif,Netral,1.4354,0.8,Tangkap roysoryo yg meng ada ada
UgwSSAy3tNz8Z_WaF9l4AaABAg,Negatif,Positif,1.4027,0.75,Hai masyarakat tidak bodoh udah jelas termul dalam bicara  ketahuan bohongnya ya allah ajablah dgn orang 2 pembohong rrt orang baik di mta masarakat
UgxzqBnL0BBfrQ3D_Px4AaABAg,Negatif,Positif,1.4016,0.92,"Harus lanjut!! si panci tidak punya bukti kalau ijazah palsu, hanya fitnah saja! Harus sampai persidangan!"
UgwnGelyB17jtUMutrB4AaABAg,Netral,Negatif,1.3967,0.9,Bagus kata katanya❤❤❤❤❤
UgwJK2UTq0gP4I5NcUN4AaABAg,Netral,Positif,1.3951,0.9,"Bang, mulyono apaan sih?"
Ugz_-2tnXtxB4MLfDdZ4AaABAg,Negatif,Netral,1.3936,0.75,"Sehat selalu Pak Jokowi dan Bu Iriana

Salut dgn Aiman yg tampil di posisi netral"
UgyBBgDYA5psSwIy_2F4AaABAg,Negatif,Positif,1.3853,0.88,"Ijazah asli karena ada legalisir. Yg primer untuk apa lagi, jika pihak terkait sudah menjelaskan asli"
Ugxzl-nQ392wB-sr2WR4AaABAg,Negatif,Netral,1.378,0.78,Petantang petenteng eh udah disemprot hakim😂😂😂
Ugwh_g1kjam27zBIqpl4AaABAg,Positif,Negatif,1.3672,0.88,Omong kosong ini..kasmojo sndiri bilang bukan pembimbing PK jokowi😂😂
UgyaSVqPnTqgcZldcJ14AaABAg,Positif,Negatif,1.3576,0.9,"Pak Jokowi..Pak Jokowi
**Bapak President RI,* *Bapak ktnya Negarawan..*
*""Sudah banyak korban terkait-kait : Manusia, Waktu, Tenaga, Pikiran, Dana baik perorangan maupun Uang Negara bahkan Rakyat terpecah belah dalam pro&kontra.
**Segeralah tunjukkan ijazah Bapak..!!!*
*Bapak sbg Pejabat publik : Walikota,Gubernur dan President tidak bisa berlindung dalam rahasia pribadi..!!!*"
UgwVN2vQps8wgNLOVw54AaABAg,Positif,Negatif,1.356,0.9,Betul pak Jokowi hrs di proses hukum
Ugw_t0236jJXffSXFDZ4AaABAg,Negatif,Positif,1.3522,0.8,"Kita dipaksa untuk percaya bahwa UGM seburuk itu kualitasnya, ada skripsi yang tidak ada tanda tangannya."
Ugxf87GFAlm05fLZmPR4AaABAg,Negatif,Positif,1.3427,0.75,"Pak jokowi tidak bisa menunujukan ijazahnya kpd publik, karena yg menganggap ijazah pak jokowi itu palsu itu oknum, bukan publik yg menganggap ijazah pak jokowi itu palsu."
UgwqNP3dEeiJUSF_bl54AaABAg,Negatif,Positif,1.2945,0.8,Hampir semua ijasah tdk ditunjukkan ke publik. Apakah itu semua palsu?
UgwqGEFkO-QytKIwx3F4AaABAg,Negatif,Netral,1.2889,0.75,"Penjelasan yg terang benderang.
Sangat mencerahkan bagi yg punya hati bersih dan akal sehat.
Sangat meresahkan bagi yg sakit hati dan sesat fikir."
UgwkprH3ucCOff_GniN4AaABAg,Positif,Netral,1.2885,0.97,😂 palsuuuuu
UgyMvShirA_xhxQV4pp4AaABAg,Positif,Netral,1.2885,0.95,PALSUUU
UgwqQrKsOzLWTFjjBdd4AaABAg,Negatif,Netral,1.2843,0.85,HoaxHoax
UgzMVHRLp4Ml4DrrqG54AaABAg,Positif,Netral,1.2806,0.95,PALLLLLSSSSUIIIII😂
Ugznmf8MPFDePaLTYG54AaABAg,Negatif,Positif,1.2736,0.82,"Mantan peneliti panci kok meneliti ijazah potocopy yo hasilnya 99,9% palsu"
UgyFAmYoMO8lgwaw2Gt4AaABAg,Negatif,Netral,1.2603,0.8,Kalau org sakit hati sampai kapan pun gk akan nerima dan percaya karena si roy itu sakit hati di copot jadi mentri
UgxzUbHG0lRd4D4gXc14AaABAg,Negatif,Netral,1.23,0.75,Si roy cs klu ngomong .gk pakai fakta dan data...ini baru lawan sepadan sama ngwur nya...wakkk..mantaf lanjut kan bu
UgxWXOGT4rvdoAUitf54AaABAg,Negatif,Positif,1.2209,0.8,Sebagey ryat pa Wiwi udah menjabat wlikota persiden 2 peryode ko bisa di ktakan ijasah ny palsu dlu yng mengusung ny partey ma banteng gimana g msuk logika low palsu mah
UgxQfAXdM4c79BVR1xp4AaABAg,Negatif,Positif,1.2201,0.85,"Aku Menilai ibu Rektor UGM, wakil Rektor dan dekan UGM mereka bicara Benar dan Jujur👍"
Ugwfl87_TU4AMaVTCLB4AaABAg,Negatif,Positif,1.2187,0.78,"We goblok kalau memang kamu yaking 99,9 % ijasa Joko wi palsu kenapa minta masalah ini di hentikan.walaupung ada UU yg baru paham ingak Rafly.maju trus knapa takut seperti seperti tikus dgn kucing"
UgwGvp_XgI8Zp45wX5h4AaABAg,Positif,Negatif,1.2074,0.85,Kalau memang ijazah nya pak Jokowi asli tujukan aja.
UgyKAQ-drgQr1Q1dK5Z4AaABAg,Negatif,Positif,1.1975,0.9,Pengacara Roy ini sudah gila . Sudah ada pernyataan rektor UGM bahwa Jokowi memang alumni UGM . Ijazahnya asli .
UgwBqpUykckbMSZAzRN4AaABAg,Negatif,Positif,1.1902,0.75,"maap kenapa semua pelapor yg sekarang ini masih ribut, kenapa seperti buta mata terkait izasah kenapa ga percaya dgn izasah, pertanyaan nya siapa yg mengeluarkan izasah pasti dari dinas pendidikan jd perlu buka mata jgn seperti ga tau aturan nya itu sj menurut pendapat saya 🙏"
UgxgrXLXCGBNO3O2YCp4AaABAg,Negatif,Positif,1.1781,0.75,Hentikan kasus ini setelah ijazah ditunjukkan serta di uji..kebohongan publik hrs diselesaikan krn sdh memakan korban dngn memenjarakan org..😒😒
UgwDWOQZxDJL8zyJY994AaABAg,Netral,Negatif,1.1662,0.9,"Manusia yg s
Paling songong itu Roi Suryo,KLO ada org ngomong pastiini org celethuk bilang yg atdk tempatnya kayak merasa org tau saja.😊😊😮😮"
UgwAuzmNMU4ltlLiEcV4AaABAg,Negatif,Positif,1.1654,0.8,"Kmrn sdh yakin 99,9% ijzah palsu tpi koq ga berani ke persidangan, kalau yakin 99,9% artinya pasti menang klau dipersidangan, jgn2 ga yakin menang mkax ksna kmri cri jln kluar😂😂😂"
UgxHALUhMmUoIYji4sx4AaABAg,Netral,Negatif,1.1615,0.9,"ya yg namanya lawyer, bagaimana kalinya bersalah ya tetap di bela, kalu tdk ya nggak dapat gaji."
UgyJ3u8eXdu7m3WIIAt4AaABAg,Netral,Negatif,1.1554,0.9,"Roy suryo jgn suka menghina orang,, krn kamu sendiri apa sdh benar., jadi penyakit jgn di cari, terlalu bnyk kebencian di hati mu nanti kamu stresss... Jadi penyakit."
