comment_id,llm_label_pass1,confidence,text,label_pass1,label_pass2,conf_pass2
UgwwW0FPqFUnu3Z4IBB4AaABAg,Negatif,0.95,IJAZAH JOKOWI ASLI ... NO DEBAT .... ASLI ASLI ASLI ... JELAS,Negatif,Negatif,0.97
UgxCXr941JGnkn7nY_J4AaABAg,Negatif,0.95,q yakin ijaza pk jokowi asli,Negatif,Negatif,0.95
UgxvjhglDK5NQ1GWx0t4AaABAg,Negatif,0.95,Saya percaya jkw ijazah nya asli ..mau putar putar yang otak nya nyangka palsu percuma gak akan mempengaruhi,Negatif,Negatif,0.95
UgySJWytNUPY_3BsiLB4AaABAg,Negatif,0.95,Ijasah jokowi Asli,Negatif,Negatif,0.95
UgxzqBnL0BBfrQ3D_Px4AaABAg,Negatif,0.92,"Harus lanjut!! si panci tidak punya bukti kalau ijazah palsu, hanya fitnah saja! Harus sampai persidangan!",Negatif,Negatif,0.92
Ugw55Izp8XKjS-2kQIx4AaABAg,Negatif,0.9,"Mulutnya mat tompel ibarat Comberan...Waspada ex HTI ex FPI aktifis Khilafah......saya Yakin Ijasah Bpk Jokowi Asli...logika aja Kalo Ijasah Bpk Jokowi palsu..otomatis Pihak UGM Pasti melaporkan ke Polri dan Bpk Jokowi pasti ditangkap dan diadili...ibarat polisi dapat laporan ada uang Palsu..pasti polisi gercep menelusuri menangkap pengedar dan bahkan diusut tuntas sampai pemuat / pencetak uang palsu..
Salam Sehat Salam NKRI
♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️🇮🇩♥️",Negatif,Negatif,0.93
UgxsKGOP-d6wGMtCsQV4AaABAg,Negatif,0.9,"Menurut Hukum yg berlaku di Indonesia maka IJAZAH JOKOWI WAJIB DIANGGAP ASLI.... !!!!

yang menuduh palsu tanpa bukti memang wajib di proses dan  dikenai sanksi pidana penjara.. (tanpa harus memperlihatkan ijazah Jokowi)

Roy itu berulang hilang yakin ijazah Jokowi 99,9% palsu tanpa bukti hukum dan belummlihat ijazah apalagi menelitinya... Itu melanggar hukum.. fitnah namanya.",Negatif,Negatif,0.92
UgyKAQ-drgQr1Q1dK5Z4AaABAg,Negatif,0.9,Pengacara Roy ini sudah gila . Sudah ada pernyataan rektor UGM bahwa Jokowi memang alumni UGM . Ijazahnya asli .,Negatif,Negatif,0.94
UgyKl-BShoSadtgJYGR4AaABAg,Negatif,0.9,"Buktinya ijazahnya asli Jokowi sdh ditunjukan, ,GK selesai juga",Negatif,Negatif,0.93
UgyPeiNjTZ8a2qHkO7l4AaABAg,Negatif,0.9,"IJAZAH JOKOWI ITU ASLI DAN SAH coba kau tanya chat GPT, Gemini, dan META AI disitu sudah di jawab oleh pihak berwenang kalau ijazah nya asli lulusan UGM Kehutanan

bagi yang menuduh palsu di komentar mana suaranya...???",Negatif,Negatif,0.94
UgzPpoKRCajrDyli56F4AaABAg,Negatif,0.9,Ijazah sdh jls2 ada dan sdh ditunjukan ke roy cs dipolda,Negatif,Negatif,0.92
UgzU-I5qdxg3KtGGkCJ4AaABAg,Negatif,0.9,Kami rakyat Indonesia percaya bahwa ijazah bapak Jokowi ASLI,Negatif,Negatif,0.95
UgzYDvDnMdvIVHF_Qkt4AaABAg,Negatif,0.9,"roy suryo, rismon, tifa yang menyatakan Ijazah pak jokowi palsu dan skirpsi nya gak bener. 
Kalo ujung nya tidak terbukti itu palsu. Harus dilanjutkan secara hukum orang yg menyatakan ijazah itu palsu. Bikin kegaduhan,",Negatif,Negatif,0.85
Ugzu6z9bzqAT08JUJ6x4AaABAg,Negatif,0.9,"Benar..yg dimaksud palsu ini apakah fisik ijasahnya atau proses memperoleh ijasahnya?
Karena secara fisik sudah dinyatakan asli, dan pernyataan ini oleh instansi yg mempunyai kewenangan.
Begitu juga secara substansi memperoleh ijasahnya juga sudah dinyatakan benar ada dari pendaftaran sampai wisuda dan pernyataan ini dikeluarkan oleh UGM sendiri.
Jadi dari kedua sisi..baik secara fisik dan cara memperolehnya juga sudah di nyatakan asli dan benar.",Negatif,Negatif,0.9
UgzwmxFSyIQww5Nz7r94AaABAg,Negatif,0.9,Udalah...asli itu ijazah nya...yg palsu mulut2 roy cs....aku sudah percaya sekarang,Negatif,Negatif,0.93
UgwFFgDoX-0t-eo02dF4AaABAg,Negatif,0.88,"Kalau sdh yakin 99,9% palsu, kenapa minta hrs dihentikan?seharusnya panci cs mendorong spy cepat disidangkan,spy bisa terbukti omongannya yg 99,9% palsu",Negatif,Negatif,0.8
UgxdtwW0gD6fCA_BYYt4AaABAg,Negatif,0.88,"kalau emang yakin palsu mah terusin aja sampe pengadilan, sampe jokowi ketauan pake ijazah palsu, emang pada takut dipenjara aja karena mereka sendiri sadar kalo ijazah jokowi asli hahahah",Negatif,Negatif,0.88
