comment_id,llm_label,model_pred,margin,confidence,text
UgwhwN-nWV4iBx9kBNR4AaABAg,Negatif,Negatif,3.4414,0.75,"Bertobatlah PEMBENCI PEMFITNAH, KARENA TUHAN PEMBELA  BAPAK JOKOWI !🤴👍🙏🙏"
UgyD0T1Yxg2rkXVEGoB4AaABAg,Negatif,Negatif,3.4063,0.75,"Iya klu kasus 
maling 8 org hrs ditahan semua ini kasus fitnah tuduhan yg tidak mendasar  klu yg d tuduh dia gak mau damai iya tetap jalan  dikepolisian spai tahan sidang  ..."
UgyXNV1RBKTKVw9JsC14AaABAg,Negatif,Negatif,3.3135,0.75,Ini kasus hukum menuntut bau yang di cium oleh Roy Suryo menuduh Jokowi yang kentut lalu Roy Suryo minta bukti ujud nya kentut yang asli..😊😊😊
UgwmiBKFkOlhH2xTj-J4AaABAg,Negatif,Negatif,3.1071,0.75,"Hadeh ..  si RS mau ngomong sepintar apapun ' memutar2 balikan fakta ,  rakyat udh cerdas rakyat LBH percaya pak Jokowi , dan rakyat msh ingin di pimpin olh pak Jokowi , makanya Gibran dah pasti bakal jadi presiden masa depan .."
UgxrOMF25yymy9LLAVZ4AaABAg,Negatif,Negatif,2.7867,0.75,"Peneliti apa tukang fitnah refly harun undang undang  tidak menjelaskan memfitnah Roy,cs itu awalnya fitnah"
UgyjNB4KwruYOHnVyDl4AaABAg,Negatif,Negatif,2.7362,0.75,Kriminalisasi ndasmu org kriminil tetaplah kriminil fitnah fitnah. Kriminil ya hrs di hukum. Negara tdk bisa diatur atur oleh kriminil.
UgxASHAxAJAc5S6zdpJ4AaABAg,Negatif,Negatif,2.7033,0.75,"Sdh ditunjukkan, lantas minta pembanding. Bikin gaduh, moga pada strok semua"
UgyucpvxqN2GMjZzGix4AaABAg,Negatif,Negatif,2.7029,0.75,"Masak membenci seseorang "" dan seseorang itu..."" adalah bapak dari orang yg di fitnah ..dan di kuburannya katanya tifa cs.mendo'akannya ..😂😂😂 dari mana orang yg.melihat atau mendengarkan cerita itu PERCAYA ..?? Dg bahasa mendo'akannya 😂😂😂😂😂😂"
Ugx0teWfKlHTcAzDojd4AaABAg,Negatif,Negatif,2.5117,0.75,"Demo gagal, sekarang minta dihentikan kasusnya. Takut masuk penjara ya😂"
UgwJX23Y46SI1ToCF5p4AaABAg,Negatif,Negatif,2.455,0.75,Apapun yang terjadi gerombolan panci cs ga bakalan percaya...wg hanya mau bikin ribut...
UgzA6EE84cw4JgY9mHN4AaABAg,Negatif,Negatif,2.3682,0.75,Penelitian ijasah gk kongkrit dikarenakan yg diteliti bukan ijasah asli itu yg disebut pencemaran nama baik
UgyREdk36P52ASMaDYV4AaABAg,Negatif,Negatif,2.3527,0.75,"Keren kata2nya, baru kali ini sepanjang debat dengan sejujur2nya mengatakan : "" Tampilanya beriman hatinya beracun "" Betul sekali tu, bagus banyakin ibadah yg betul, dari pada memfitnah terus2an mencari kesalahan orang lain, keren bu diana, emang pada gak takut  atau lupa ya, siksa kubur yg nyata, dari dosa memfitnah n mencari kesalahan2 terus2an, "" Dengan kata lain, dosa yg mengalir sampai akhir hayat dikarnakan memaksa orang lain ikut berfikir negatif, na'udzu billah. Andaikan ijasah jokowi palsu misalkan, beliau diam saja, dosanya untuk sendiri, n tanggung sendiri, yg lebih bahaya menggiring opini dan menuduh, mencari kesalahan terus2an, itu lah amal dosa yg terus mengalir, hiiii pada gak takut sama malaikat,"
